# f1,f2,f3,f4,f5,f6,f7,f8,sign
-1.097587347030639648e+00,-1.007368087768554688e+00,-5.488340258598327637e-01,-9.476643800735473633e-01,-1.063152432441711426e+00,-3.010606765747070312e-01,-9.120277315378189087e-02,5.537411689758300781e+00,7.000000000000000000e+00
-1.015607595443725586e+00,6.797854304313659668e-01,4.816742420196533203e+00,-1.125423312187194824e+00,-3.596728444099426270e-01,-2.106457471847534180e+00,-1.231384158134460449e+00,-1.870069384574890137e+00,2.000000000000000000e+00
-3.882624506950378418e-01,-1.062215685844421387e+00,-8.701392412185668945e-01,-1.778356075286865234e+00,-6.399797797203063965e-01,-1.892213821411132812e+00,6.521462917327880859e+00,-7.244071960449218750e-01,6.000000000000000000e+00
3.701444864273071289e-01,-7.873705625534057617e-01,-2.558319270610809326e-01,-1.818590641021728516e+00,5.477580070495605469e+00,-2.491747856140136719e+00,-1.296276688575744629e+00,-1.878060102462768555e+00,4.000000000000000000e+00
-2.733292281627655029e-01,-3.513864874839782715e-01,-2.053898274898529053e-01,-1.450757861137390137e+00,5.151471614837646484e+00,-1.910403132438659668e+00,-1.160328269004821777e+00,-1.102891087532043457e+00,4.000000000000000000e+00
-7.453204989433288574e-01,-9.788992404937744141e-01,-7.518804669380187988e-01,-1.314489483833312988e+00,-9.272773265838623047e-01,-5.401774048805236816e-01,-3.121633529663085938e-01,6.157882213592529297e+00,7.000000000000000000e+00
9.360226988792419434e-01,-9.757655858993530273e-01,-2.177227139472961426e-01,-1.868370294570922852e+00,4.938315391540527344e+00,-2.573945045471191406e+00,-1.356607794761657715e+00,-2.050616264343261719e+00,4.000000000000000000e+00
-1.027981281280517578e+00,6.275218725204467773e-01,5.037794589996337891e+00,-1.187359809875488281e+00,-4.243530631065368652e-01,-2.244134426116943359e+00,-1.097493052482604980e+00,-1.798936486244201660e+00,2.000000000000000000e+00
-1.028821110725402832e+00,5.683138370513916016e-01,5.120514869689941406e+00,-1.181941390037536621e+00,-4.740452766418457031e-01,-2.260304450988769531e+00,-1.072114348411560059e+00,-1.738710284233093262e+00,2.000000000000000000e+00
-5.567737221717834473e-01,-8.598012328147888184e-01,-1.139196038246154785e+00,-1.064393997192382812e+00,-5.602408647537231445e-01,-7.963222861289978027e-01,5.614253520965576172e+00,-7.133954763412475586e-01,6.000000000000000000e+00
-3.434382677078247070e-01,-9.653428196907043457e-01,-7.987155914306640625e-01,-1.507188677787780762e+00,-7.524407505989074707e-01,-1.507599830627441406e+00,6.436705112457275391e+00,-6.274653077125549316e-01,6.000000000000000000e+00
-1.056706547737121582e+00,6.352630853652954102e-01,5.385817050933837891e+00,-1.314423799514770508e+00,-4.525032043457031250e-01,-2.495223999023437500e+00,-8.724785447120666504e-01,-1.718661427497863770e+00,2.000000000000000000e+00
-7.208833694458007812e-01,-7.687175273895263672e-01,-6.975187659263610840e-01,-1.164777278900146484e+00,-8.502709269523620605e-01,-6.615234017372131348e-01,-4.466421604156494141e-01,5.938711643218994141e+00,7.000000000000000000e+00
-1.470104932785034180e+00,5.601886272430419922e+00,1.349686264991760254e+00,-1.466599464416503906e+00,-5.268200635910034180e-01,-7.292067408561706543e-01,-7.331502437591552734e-01,-7.686772942543029785e-01,1.000000000000000000e+00
4.906033575534820557e-01,-1.412092208862304688e+00,-1.007154941558837891e+00,5.013371944427490234e+00,-1.683599591255187988e+00,3.133015632629394531e-01,-1.280535578727722168e+00,-1.221688985824584961e+00,3.000000000000000000e+00
-7.770459055900573730e-01,-7.990745306015014648e-01,-7.053202390670776367e-01,-1.177078127861022949e+00,-9.155855178833007812e-01,-6.334629654884338379e-01,-3.982620239257812500e-01,6.093954563140869141e+00,7.000000000000000000e+00
-1.022525787353515625e+00,5.282191634178161621e-01,5.528935909271240234e+00,-1.204306483268737793e+00,-6.349362134933471680e-01,-2.463912963867187500e+00,-8.799410462379455566e-01,-1.576067328453063965e+00,2.000000000000000000e+00
-7.241743206977844238e-01,-6.668638586997985840e-01,-1.557848095893859863e+00,8.166402578353881836e-01,-1.105079531669616699e+00,5.039811134338378906e+00,-8.792790174484252930e-01,-1.124924421310424805e+00,5.000000000000000000e+00
-2.806774526834487915e-02,-5.625346302986145020e-01,-2.672366499900817871e-01,-1.763871073722839355e+00,5.608812332153320312e+00,-2.364145278930664062e+00,-1.200589537620544434e+00,-1.701612591743469238e+00,4.000000000000000000e+00
