# f1,f2,f3,f4,f5,f6,f7,f8,sign
-5.492613315582275391e-01,-8.323845267295837402e-01,-9.519106149673461914e-01,-1.378204822540283203e+00,-6.766275763511657715e-01,-1.047978878021240234e+00,6.193082332611083984e+00,-8.121449351310729980e-01,6.000000000000000000e+00
5.386224389076232910e-01,-1.659579157829284668e+00,-1.213608026504516602e+00,5.303332805633544922e+00,-1.752763867378234863e+00,3.856581449508666992e-01,-1.586887001991271973e+00,-1.152590394020080566e+00,3.000000000000000000e+00
-1.423978924751281738e+00,5.493296146392822266e+00,9.350390434265136719e-01,-1.078393340110778809e+00,-5.066160559654235840e-01,-9.791869521141052246e-01,-1.014531373977661133e+00,-1.021556138992309570e+00,1.000000000000000000e+00
5.407815933227539062e+00,-2.188522577285766602e+00,-1.597238183021545410e+00,4.176919162273406982e-01,-6.848069429397583008e-01,-7.527053952217102051e-01,-1.286906599998474121e+00,-2.379254102706909180e+00,0.000000000000000000e+00
-9.894237518310546875e-01,5.009300112724304199e-01,5.491205692291259766e+00,-1.157431960105895996e+00,-6.521073579788208008e-01,-2.424228906631469727e+00,-9.471768140792846680e-01,-1.590482115745544434e+00,2.000000000000000000e+00
-7.340399026870727539e-01,-9.564706087112426758e-01,-7.044080495834350586e-01,-1.270919084548950195e+00,-9.282798767089843750e-01,-5.855666995048522949e-01,-3.442555665969848633e-01,6.166744709014892578e+00,7.000000000000000000e+00
3.510402888059616089e-02,-6.382799148559570312e-01,-2.484011054039001465e-01,-1.737872004508972168e+00,5.554908752441406250e+00,-2.343175888061523438e+00,-1.222807049751281738e+00,-1.687843203544616699e+00,4.000000000000000000e+00
-5.310514569282531738e-01,-8.668642640113830566e-01,-1.049742817878723145e+00,-1.436479449272155762e+00,-6.111733317375183105e-01,-1.261771917343139648e+00,6.296017169952392578e+00,-6.818779706954956055e-01,6.000000000000000000e+00
-3.473589718341827393e-01,-6.726382374763488770e-01,-1.724949240684509277e+00,6.559109091758728027e-01,-1.068097472190856934e+00,4.983086585998535156e+00,-1.054176330566406250e+00,-8.847188353538513184e-01,5.000000000000000000e+00
-1.341852784156799316e+00,5.545072555541992188e+00,9.929401874542236328e-01,-1.097013473510742188e+00,-5.122807621955871582e-01,-9.489064812660217285e-01,-1.193158984184265137e+00,-8.302669525146484375e-01,1.000000000000000000e+00
-3.374977707862854004e-01,-4.795862734317779541e-01,-2.295958101749420166e-01,-1.564607381820678711e+00,5.282036304473876953e+00,-2.078034400939941406e+00,-9.267638325691223145e-01,-1.647704005241394043e+00,4.000000000000000000e+00
-1.332477927207946777e+00,5.499547004699707031e+00,1.001224756240844727e+00,-1.109460711479187012e+00,-5.184384584426879883e-01,-1.017120599746704102e+00,-1.141076803207397461e+00,-8.628442287445068359e-01,1.000000000000000000e+00
-2.296912074089050293e-01,-3.740042150020599365e-01,-1.890094876289367676e-01,-1.463280677795410156e+00,5.165070533752441406e+00,-1.916253805160522461e+00,-1.151864290237426758e+00,-1.090767741203308105e+00,4.000000000000000000e+00
5.228151798248291016e+00,-2.149720668792724609e+00,-1.614020466804504395e+00,2.749129235744476318e-01,-7.293155193328857422e-01,-6.454135775566101074e-01,-1.064976572990417480e+00,-2.378204345703125000e+00,0.000000000000000000e+00
-5.759304165840148926e-01,-8.746157884597778320e-01,-9.528232812881469727e-01,-1.696284174919128418e+00,-6.387448310852050781e-01,-1.551832199096679688e+00,6.443371295928955078e+00,-7.588724493980407715e-01,6.000000000000000000e+00
-3.062205016613006592e-01,-4.112461805343627930e-01,-2.201842963695526123e-01,-1.554524183273315430e+00,5.233253479003906250e+00,-2.013841152191162109e+00,-1.041444659233093262e+00,-1.386168599128723145e+00,4.000000000000000000e+00
-6.799234747886657715e-01,-8.971456289291381836e-01,-5.457518696784973145e-01,-1.049286127090454102e+00,-1.036687254905700684e+00,-5.163686275482177734e-01,-4.337993860244750977e-01,5.705991268157958984e+00,7.000000000000000000e+00
3.514592170715332031e+00,-1.758519649505615234e+00,-3.563667237758636475e-01,-9.107095003128051758e-01,2.490236312150955200e-01,-1.575878024101257324e+00,-2.708822488784790039e-01,-1.922812819480895996e+00,0.000000000000000000e+00
-1.303477644920349121e+00,5.443752288818359375e+00,9.597464799880981445e-01,-1.027814269065856934e+00,-5.299665331840515137e-01,-9.616852402687072754e-01,-1.227147459983825684e+00,-7.868831753730773926e-01,1.000000000000000000e+00
-9.490150213241577148e-01,4.434855282306671143e-01,5.545403480529785156e+00,-1.028420209884643555e+00,-6.037597656250000000e-01,-2.403440237045288086e+00,-7.777513861656188965e-01,-1.463705778121948242e+00,2.000000000000000000e+00
-5.900690555572509766e-01,-7.746730446815490723e-01,-1.063454151153564453e+00,-1.335707426071166992e+00,-6.415779590606689453e-01,-9.847901463508605957e-01,5.933835506439208984e+00,-7.881127595901489258e-01,6.000000000000000000e+00
1.545147597789764404e-01,-7.579781413078308105e-01,-6.074061244726181030e-02,-1.454732418060302734e+00,-8.144686222076416016e-01,-1.722923994064331055e+00,5.382483482360839844e+00,-9.068263769149780273e-01,6.000000000000000000e+00
3.802651166915893555e-01,-1.026667237281799316e+00,-7.940632104873657227e-01,4.174607753753662109e+00,-1.290528893470764160e+00,4.195787310600280762e-01,-9.387323856353759766e-01,-1.114419579505920410e+00,3.000000000000000000e+00
3.701444864273071289e-01,-7.873705625534057617e-01,-2.558319270610809326e-01,-1.818590641021728516e+00,5.477580070495605469e+00,-2.491747856140136719e+00,-1.296276688575744629e+00,-1.878060102462768555e+00,4.000000000000000000e+00
