ID,LEFT_WRIST_THUMB_CMC_MCP,LEFT_THUMB_CMC_MCP_IP,LEFT_THUMB_MCP_IP_TIP,LEFT_WRIST_INDEX_FINGER_MCP_PIP,LEFT_INDEX_FINGER_MCP_PIP_DIP,LEFT_INDEX_FINGER_PIP_DIP_TIP,LEFT_WRIST_MIDDLE_FINGER_MCP_PIP,LEFT_MIDDLE_FINGER_MCP_PIP_DIP,LEFT_MIDDLE_FINGER_PIP_DIP_TIP,LEFT_WRIST_RING_FINGER_MCP_PIP,LEFT_RING_FINGER_MCP_PIP_DIP,LEFT_RING_FINGER_PIP_DIP_TIP,LEFT_WRIST_PINKY_MCP_PIP,LEFT_PINKY_MCP_PIP_DIP,LEFT_PINKY_PIP_DIP_TIP,RIGHT_WRIST_THUMB_CMC_MCP,RIGHT_THUMB_CMC_MCP_IP,RIGHT_THUMB_MCP_IP_TIP,RIGHT_WRIST_INDEX_FINGER_MCP_PIP,RIGHT_INDEX_FINGER_MCP_PIP_DIP,RIGHT_INDEX_FINGER_PIP_DIP_TIP,RIGHT_WRIST_MIDDLE_FINGER_MCP_PIP,RIGHT_MIDDLE_FINGER_MCP_PIP_DIP,RIGHT_MIDDLE_FINGER_PIP_DIP_TIP,RIGHT_WRIST_RING_FINGER_MCP_PIP,RIGHT_RING_FINGER_MCP_PIP_DIP,RIGHT_RING_FINGER_PIP_DIP_TIP,RIGHT_WRIST_PINKY_MCP_PIP,RIGHT_PINKY_MCP_PIP_DIP,RIGHT_PINKY_PIP_DIP_TIP,R_SHOULDER_L_SHOULDER_L_ELBOW,L_SHOULDER_L_ELBOW_L_WRIST,L_ELBOW_L_WRIST_L_PINKY,L_SHOULDER_R_SHOULDER_R_ELBOW,R_SHOULDER_R_ELBOW_R_WRIST,R_ELBOW_R_WRIST_R_PINKY,LEFT_THUMB_CMC_TIP,LEFT_INDEX_MCP_TIP,LEFT_MIDDLE_MCP_TIP,LEFT_RING_MCP_TIP,LEFT_PINKY_MCP_TIP,LEFT_THUMB_TIP_INDEX_TIP,LEFT_INDEX_TIP_MIDDLE_TIP,LEFT_MIDDLE_TIP_RING_TIP,LEFT_RING_TIP_PINKY_TIP,RIGHT_THUMB_CMC_TIP,RIGHT_INDEX_MCP_TIP,RIGHT_MIDDLE_MCP_TIP,RIGHT_RING_MCP_TIP,RIGHT_PINKY_MCP_TIP,RIGHT_THUMB_TIP_INDEX_TIP,RIGHT_INDEX_TIP_MIDDLE_TIP,RIGHT_MIDDLE_TIP_RING_TIP,RIGHT_RING_TIP_PINKY_TIP,L_SHOULDER_L_WRIST,R_SHOULDER_R_WRIST
harsha_1,162.99,170.55,173.66,168.81,153.59,158.37,147.24,142.4,132.11,139.56,123.4,133.59,159.0,145.06,166.23,168.34,170.41,172.55,170.96,170.89,170.45,158.63,162.75,153.1,152.75,164.82,172.78,153.74,169.74,173.81,97.7,112.81,164.76,111.72,101.6,175.24,0.08217582263519786,0.04478976899295807,0.02639787821035053,0.0191222159057993,0.03820946684983944,0.04253077131613402,0.05305605870818134,0.05504349020233,0.058753833815489265,0.09236209606405474,0.07042953942754658,0.03902669477845817,0.04637981731182237,0.060540340093498644,0.08191166686868734,0.07048357220480066,0.06917088644087487,0.07671189788858337,0.7048325172445358,0.4876398563068979
harsha_1,162.45,175.07,175.54,171.17,150.53,147.64,155.27,137.48,130.14,149.54,125.06,108.04,154.84,158.92,159.4,171.36,171.33,175.54,174.44,171.61,176.13,166.96,161.17,161.75,162.63,145.63,174.05,155.05,157.99,178.73,102.2,115.99,162.39,117.99,153.03,115.87,0.07811603686591852,0.03317732929962007,0.02173187089790305,0.015531362717036193,0.027333053389244456,0.05971197699795626,0.043079465997867765,0.03947509583862989,0.04335725873985962,0.1005619639851146,0.06743495019498315,0.041311722142411966,0.038272468658922996,0.04187772774699337,0.08340474074142637,0.06542448403092431,0.06913459544075976,0.05797213405687655,0.6356779009260083,0.40356557709255403
harsha_1,170.53,173.85,170.1,147.63,163.13,160.39,140.13,154.59,152.7,126.03,139.56,156.91,96.91,119.99,149.07,172.43,169.96,176.35,172.57,172.08,173.61,162.96,166.08,171.88,160.84,151.4,177.17,158.28,159.37,178.8,98.87,113.86,164.04,113.46,97.51,167.95,0.1014485968414294,0.054087122701999835,0.040658553521586455,0.04007177586854551,0.02627016189492237,0.04256051317159809,0.03950695044371223,0.027347467220944898,0.04771184143425707,0.0972329503573758,0.06570293941455782,0.04170909853430227,0.040061131145414264,0.04154891988339785,0.08231191226235243,0.06472806924087338,0.0690166340101902,0.057280772396812354,0.6393615535677694,0.3412522478893362
harsha_1,167.61,173.63,169.62,160.43,173.1,168.08,148.38,173.97,161.93,123.39,156.87,162.02,86.75,133.9,151.28,171.48,170.02,175.62,173.32,172.09,174.01,166.26,163.59,157.01,158.95,155.36,173.72,158.48,162.84,178.94,96.77,118.19,167.7,111.67,106.91,166.8,0.1009970064528522,0.07351153283031997,0.058954362292377493,0.05077921254950043,0.029596869682129615,0.02552788653920769,0.044901028568830624,0.03853464947366345,0.057201076307209595,0.09867246544387893,0.06739347682930447,0.04009741615001182,0.04100410390616051,0.045384386448874325,0.08056769537782954,0.06682921643678998,0.06991038601193897,0.058375197913778806,0.6624965702548518,0.43376720665717855
harsha_1,167.16,175.26,170.89,153.96,172.55,166.77,143.46,173.51,160.57,117.53,153.95,162.63,91.41,125.38,148.78,171.08,169.82,175.64,173.56,170.89,170.88,166.03,163.35,150.2,160.34,155.44,167.91,156.14,165.24,172.36,99.6,121.09,164.7,114.19,137.27,80.03,0.10428511073580492,0.07074642559266323,0.055140598566339676,0.049923063070498215,0.02689294225556688,0.029792261651940023,0.045833805255794995,0.0351098973899739,0.05879019448695008,0.10112993043168061,0.06829138167359233,0.039994033979058166,0.04074016390264127,0.04708880836604096,0.08017661779377898,0.06726750872052738,0.06777132594611979,0.06295475321560026,0.6577926149393558,0.4602720066985171
harsha_1,169.44,175.28,174.49,151.56,169.82,162.03,143.35,161.79,160.18,122.21,147.54,163.51,94.59,117.93,156.67,171.2,167.5,174.22,174.19,171.8,173.16,167.91,162.83,155.57,160.12,156.27,167.05,151.01,163.69,168.93,97.7,119.5,165.27,114.15,120.8,155.82,0.1094259505652889,0.0597689568000892,0.050638480119490126,0.04856642845165536,0.03429093197269886,0.03765710456487145,0.03820940234465136,0.03267156080847976,0.047102012250143176,0.10239940224980014,0.06685102450772741,0.04130343354019646,0.039631564448067064,0.04666083326844624,0.08260389861504772,0.06305982026146367,0.06822164510593505,0.06627114509659912,0.6544895236511802,0.37246354660263337
harsha_1,164.86,174.63,175.77,166.22,160.67,150.49,140.42,156.19,128.34,120.37,117.89,140.43,132.1,82.86,136.3,170.5,168.13,174.21,174.09,172.07,172.49,166.62,166.5,163.88,158.77,159.61,169.02,151.92,168.8,176.93,94.07,110.66,170.0,113.56,101.52,171.22,0.08715835471851589,0.04463142402249322,0.02688525453287436,0.02025353160571188,0.012225406990201568,0.045099745015395216,0.05254971407628415,0.034937159485142665,0.037323222806838335,0.10075523008321904,0.06717784133236834,0.04184846062634069,0.03912412492184031,0.054505979359380265,0.08146982387855943,0.06578393565738923,0.06886674494812987,0.06981338076133806,0.6770590669904627,0.37643624424226774
harsha_1,164.96,173.83,175.12,164.1,155.88,158.82,161.55,142.83,141.07,160.52,113.05,149.06,171.45,159.53,167.75,171.18,168.54,175.3,172.77,171.28,175.07,165.93,166.45,165.66,158.92,157.08,169.84,149.65,167.58,176.8,95.9,110.79,166.76,114.77,117.79,137.93,0.10971139923503913,0.05729377087297876,0.033439456758331675,0.028098576040945206,0.050425882844137467,0.06423120296124801,0.06119325933907043,0.0641306302283617,0.06005662501466674,0.10277986635809577,0.06742896871527002,0.041236939737516694,0.03868514327593083,0.05387831263926935,0.08156753439985581,0.0661620034619584,0.06963325754012174,0.07040072825660745,0.6831269780509899,0.31577429374090865
harsha_1,166.64,172.57,172.18,170.13,164.65,165.88,153.07,159.84,157.6,120.87,137.81,161.6,125.63,89.95,155.39,170.87,168.95,174.81,172.92,171.25,175.59,164.14,162.65,172.92,160.12,154.87,166.26,153.84,162.94,179.45,89.78,108.36,168.69,114.71,119.98,152.53,0.10407129537192399,0.06772093380482314,0.04391237305718217,0.04512829641861568,0.024140374778389522,0.02586774041427168,0.057700447257334864,0.03003563792939181,0.05571937274604162,0.10442296780117866,0.06967812946893545,0.04326387222647175,0.03924634918559075,0.054943565650712935,0.0810403861065124,0.0656563250061982,0.06784525105036728,0.07320249309512265,0.6616008148124614,0.45305043873953704
harsha_1,168.3,173.9,170.44,156.25,170.84,167.89,152.78,163.16,167.85,138.23,142.66,167.99,119.09,107.94,165.74,170.29,168.78,174.54,172.73,172.34,175.09,162.46,164.75,171.34,160.33,159.44,162.74,155.71,161.17,177.86,93.54,114.21,163.54,111.57,115.88,163.02,0.11902961887166684,0.09319355784245546,0.07586973590502898,0.0678362937131637,0.04815112823613131,0.03920695454922223,0.04388727951784845,0.038090564137889374,0.0522860183347183,0.10225795410019133,0.06949234898371742,0.042665697210926744,0.03524050821823916,0.04575244613507858,0.08131905890757113,0.06511106117430633,0.06396387590031233,0.06537656109177073,0.7169567835704952,0.4854259876450502
